ho_ten,10%,20%,20%,thi
71_011,6.5,6.5,6,6.5
71_012,5.5,5.5,6,5
71_013,6.5,7,7,6.75
71_014,7.25,5.5,7,6
71_021,7.5,5,6,6
71_022,8,6,6,6
71_023,9,8,8,8
71_024,7.5,5,6,6
71_025,6.5,6,6,6
71_031,8,6.5,7,7
71_032,8,7,7,6
71_033,8,7,7,7
71_034,,,,
71_035,,,,
71_041,10,6.5,8,6.5
71_042,10,8,8,8.5
71_043,10,6.5,7.5,7
71_044,7,6,7,7
71_045,10,6.75,8,7
71_046,10,6.5,8,7
71_051,7,6,6.5,
71_052,7.12,6.25,7,6.5
71_053,7.75,6.25,7.25,6.25
71_054,7.35,6,7,6
71_055,7.5,5.5,6.5,6
71_056,7.12,5.75,6.5,6.25
71_061,10,6,6.5,6.5
71_062,10,6.5,6.5,6.5
71_063,7,5,6.5,6
71_064,10,6,6.5,6.5
71_065,10,6.5,6.5,6.5
71_071,9,6.25,7,7
71_072,8,6,6.5,6.5
71_073,9,7.25,7.5,7.5
71_074,8,6.75,6.5,6.5
71_075,8,6.5,6,6
71_081,8,6,5.5,5
71_082,7.5,6.5,6.25,5.5
71_083,8.5,5.75,6.5,5
71_084,8,6,6.5,5
71_085,7,6,6,5
71_091,7,7,6,5
71_092,7.25,6.75,6.5,5
71_093,7,6.5,6,5
71_094,5.5,5,5,5
71_095,6,6.5,6,5
71_101,9,7,6.5,6
71_102,9,7,6,6
71_103,7,6.5,6,6
71_104,9,7,6.5,6
71_105,9,7,6,6
71_111,8,6.75,7,7
71_112,8,6.75,8,7
71_113,8,6.5,7.5,7
71_114,8.25,5,8,7
71_115,7.75,6.5,7,7
71_121,9,7.5,7,7
71_122,8,6.5,6.5,6.5
71_123,8,7,7,7
71_124,8,7,7,7
71_125,8,7,7,7
71_131,7.5,7.5,8,8
71_132,8,7,8,8
71_133,8.5,8.25,8,8
71_134,8.5,7,6.5,6.5
71_135,8.5,7.5,7.5,7.5
71_141,7,7,7.5,7
71_142,7,7.25,7,7
71_143,7,3.25,7.25,7.25
71_144,7,7.5,8,7.5
71_145,7,7.25,7.25,7
71_146,7,6.75,7.5,6.5
71_151,7.5,7,8,9
71_152,7,6.5,6.5,6.5
71_153,7,7,7.5,7.5
71_154,7,7,7,
